k,perplexity
2,1253.6725490944164
3,1223.8292487038689
4,1226.154599114258
5,1199.7800019226645
6,1196.5253178393464
7,1202.7577918961856
8,1183.7677224517258
9,1181.799134033608
10,1171.5489578252523
12,1159.2286244065958
14,1164.115699209064
16,1181.5277539700128
18,1170.9766012263656
20,1169.6955705078078
25,1130.2749267193965
30,1137.5684413517674
35,1119.1487397996596
40,1132.6124990214073
