k,perplexity
2,1141.8692097897926
3,1134.836400812593
4,1149.046898119046
5,1158.7978680716403
6,1134.0955594264058
7,1144.4136429417435
8,1166.8261147354183
9,1178.855053108944
10,1178.9629858920885
12,1173.495748619022
14,1170.5715383250888
16,1189.8390997421684
18,1202.0746125047883
20,1188.8171248171582
22,1211.1771458647986
24,1212.4093928717784
26,1194.111862202426
28,1214.0436526044864
30,1227.8298528871287
