topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
0.636680776681647,3.309123385909025e-4,3.309123385942163e-4,3.3091233855100656e-4,0.11567326849674395,3.30912338688327e-4,3.309123385951543e-4,3.309123386259704e-4,0.2453295684513699,3.3091233859350295e-4,text1036
3.051752659682464e-4,3.051752659663584e-4,0.9972534226064027,3.051752659375395e-4,3.051752659617148e-4,3.051752659681872e-4,3.051752659846648e-4,3.0517526587074396e-4,3.051752660109117e-4,3.051752659289029e-4,text1037
2.4463546789825057e-4,0.451671877630114,2.446354679316819e-4,2.446354678255963e-4,2.4463546792689855e-4,0.4549155664951157,0.09170010759952786,2.446354679746347e-4,2.446354678684551e-4,2.4463546781683165e-4,text1038
3.675452370033806e-4,3.6754523709610847e-4,3.67545237037833e-4,3.675452370636234e-4,0.18494075654826245,3.675452370076636e-4,0.2887680517937218,3.675452370674821e-4,0.5237183749987167,3.6754523702293095e-4,text1039
4.429920494903388e-4,0.15674002046714125,4.4299204946652193e-4,0.8397160431365619,4.4299204962699025e-4,4.4299204949720393e-4,4.4299204958046524e-4,4.429920495854624e-4,4.4299204951754264e-4,4.4299204953231777e-4,text104
3.163594504070061e-4,3.1635945034469507e-4,0.281647363174011,3.1635945026272505e-4,3.1635945031770955e-4,0.1297956193805324,3.163594504316497e-4,3.163594504042671e-4,0.3157412497124312,0.2709176110308573,text1040
0.08254309368695487,0.0648864376726037,3.234722953769017e-4,3.2347229507313454e-4,3.2347229507560744e-4,3.234722951335726e-4,3.2347229516833687e-4,3.2347229515045176e-4,3.2347229520622936e-4,0.8503061625742573,text1041
0.8141877367390138,3.051752659633044e-4,3.0517526606623125e-4,3.051752659657036e-4,3.0517526602332043e-4,3.051752659612746e-4,3.0517526605148177e-4,3.051752660135722e-4,0.1833708611329049,3.0517526603655897e-4,text1042
2.5625492388013546e-4,2.56254924031942e-4,2.5625492389189737e-4,2.5625492389612457e-4,2.5625492397108717e-4,0.09250660109903909,0.9054433595096265,2.5625492393917737e-4,2.5625492383922856e-4,0.00025625492388477237,text1043
2.640947449952678e-4,2.640947450687984e-4,0.28508849945570974,2.640947449805822e-4,0.712798742584035,2.640947451252209e-4,2.6409474502891674e-4,2.640947450309169e-4,2.640947450015264e-4,2.6409474502420046e-4,text1044
