topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
5.3315451704503e-4,0.12243830469915042,0.0970374978763581,5.331545171555417e-4,0.4355101993510441,5.331545172153252e-4,5.331545167710316e-4,0.34181507097157016,5.331545173690329e-4,5.331545163213266e-4,text1
3.8587546014999687e-4,3.8587546007302236e-4,3.858754597611463e-4,3.858754597023133e-4,3.858754601586149e-4,3.8587545999919107e-4,0.2587060768306706,3.8587546043166956e-4,0.7382069194895743,3.8587545947920093e-4,text10
4.8800109393340945e-4,4.880010938588517e-4,4.8800109316515794e-4,4.880010931452431e-4,4.880010934974029e-4,0.41123034587044544,4.880010933571299e-4,0.5848656453821033,4.880010931974233e-4,4.880010932965709e-4,text100
0.6940580841616404,0.3035071205624948,3.0434940920134483e-4,3.043494097220358e-4,3.043494089621253e-4,3.0434940906398015e-4,3.0434940975853535e-4,3.043494100304706e-4,3.0434940921703074e-4,3.0434940990927605e-4,text1000
0.592479689822882,3.2132124037154614e-4,3.2132124004098845e-4,3.2132123979127625e-4,0.4049497402575504,3.213212395156169e-4,3.2132124025634965e-4,3.2132123977325015e-4,3.213212398250272e-4,3.2132123999363766e-4,text1001
4.4128497662393766e-4,0.11988976445792517,4.41284975837538e-4,4.4128497596424097e-4,4.412849758235435e-4,4.4128497649622086e-4,0.8765799557323338,4.41284976666438e-4,4.4128497596198897e-4,4.4128497636706485e-4,text1002
0.17567283952318374,2.6574887015919167e-4,2.657488698258428e-4,2.657488706670034e-4,0.8222011695152494,2.6574887003574587e-4,2.6574887038812204e-4,2.6574887034851196e-4,2.657488700633157e-4,2.657488700792037e-4,text1003
0.20796300125647796,0.35450530333449287,2.720216745299436e-4,2.7202167465356484e-4,2.720216747043976e-4,2.720216740045631e-4,2.7202167431471724e-4,2.7202167430933163e-4,0.4356275436877767,2.720216747359964e-4,text1004
0.33548693769667043,3.0038293649507856e-4,3.0038293627683636e-4,0.022453202750286914,3.003829361495561e-4,3.0038293606302096e-4,3.003829367052708e-4,0.17197791598148815,3.003829363648084e-4,0.46827964595349997,text1005
0.8617978266589231,0.13530892332079367,3.6165625220265104e-4,3.616562525619358e-4,3.6165625246461624e-4,3.6165625250179987e-4,3.616562526093228e-4,3.6165625266520546e-4,3.6165625229162186e-4,3.616562529860508e-4,text1006
3.3292455522650915e-4,0.22079859798293167,0.08818811673832197,0.5481504971006245,3.3292455469238985e-4,3.32924555031412e-4,3.329245544286961e-4,3.32924554510156e-4,0.14086524084949043,3.3292455474230663e-4,text1007
0.32169163549461915,4.3299489688795287e-4,4.329948967574156e-4,4.3299489722064773e-4,0.14964563249532464,4.329948967387823e-4,4.3299489710117326e-4,4.3299489676212595e-4,4.329948970752429e-4,0.5256317677315129,text1008
0.3566304919327697,2.7042587392090334e-4,0.046912044220424415,0.10310902338600074,2.70425874165608e-4,2.704258740497393e-4,2.704258741591104e-4,2.704258739889142e-4,0.49172588521640653,2.7042587411439315e-4,text1009
4.289655742017847e-4,4.289655744962637e-4,4.289655738955929e-4,0.22936174339125132,4.289655743927922e-4,0.7672065320148955,4.2896557393329044e-4,4.28965574120223e-4,4.289655739838918e-4,4.2896557482938186e-4,text101
